flight_idx,start_time,dt,finish_time,predt_start_time,predt_finish_time,start_location,end_location,ac_type,mgtw,team
1,2006-01-07T06:40:00.0,0.0,2006-01-07T07:35:00.0,2006-01-07T06:40:00.0,2006-01-07T07:35:00.0,2,6,1,30.0,3
2,2006-01-07T08:10:00.0,0.0,2006-01-07T09:05:00.0,2006-01-07T08:10:00.0,2006-01-07T09:05:00.0,6,2,1,30.0,3
3,2006-01-07T09:50:00.0,0.0,2006-01-07T10:45:00.0,2006-01-07T09:50:00.0,2006-01-07T10:45:00.0,2,6,1,30.0,3
4,2006-01-07T11:45:00.0,30.0,2006-01-07T12:55:00.0,2006-01-07T11:15:00.0,2006-01-07T12:25:00.0,6,1,1,30.0,3
5,2006-01-07T13:05:00.0,0.0,2006-01-07T14:20:00.0,2006-01-07T13:05:00.0,2006-01-07T14:20:00.0,1,6,1,30.0,4
6,2006-01-07T16:55:00.0,0.0,2006-01-07T17:50:00.0,2006-01-07T16:55:00.0,2006-01-07T17:50:00.0,6,2,1,30.0,4
7,2006-01-07T07:00:00.0,0.0,2006-01-07T08:10:00.0,2006-01-07T07:00:00.0,2006-01-07T08:10:00.0,3,6,2,30.0,1
8,2006-01-07T08:40:00.0,0.0,2006-01-07T09:40:00.0,2006-01-07T08:40:00.0,2006-01-07T09:40:00.0,6,3,2,30.0,1
9,2006-01-07T14:30:00.0,0.0,2006-01-07T16:10:00.0,2006-01-07T14:30:00.0,2006-01-07T16:10:00.0,3,4,2,30.0,4
10,2006-01-07T18:50:00.0,0.0,2006-01-07T20:30:00.0,2006-01-07T18:50:00.0,2006-01-07T20:30:00.0,4,3,2,30.0,4
11,2006-01-07T07:35:00.0,30.0,2006-01-07T08:55:00.0,2006-01-07T07:05:00.0,2006-01-07T08:25:00.0,5,4,3,30.0,2
12,2006-01-07T09:00:00.0,0.0,2006-01-07T10:25:00.0,2006-01-07T09:00:00.0,2006-01-07T10:25:00.0,4,5,3,30.0,2
13,2006-01-07T11:00:00.0,0.0,2006-01-07T12:20:00.0,2006-01-07T11:00:00.0,2006-01-07T12:20:00.0,5,4,3,30.0,5
14,2006-01-07T12:55:00.0,0.0,2006-01-07T14:20:00.0,2006-01-07T12:55:00.0,2006-01-07T14:20:00.0,4,5,3,30.0,5
