flight_idx,start_time,finish_time,start_location,end_location,team,ac_type,cancelled,mgtw
1,2006-01-07T08:30:00.0,2006-01-07T09:45:00.0,16,10,4,1,false,15.0
2,2006-01-07T10:45:00.0,2006-01-07T12:05:00.0,10,16,4,1,false,15.0
3,2006-01-07T12:35:00.0,2006-01-07T13:50:00.0,16,10,4,1,false,15.0
4,2006-01-07T14:45:00.0,2006-01-07T16:05:00.0,10,16,4,1,false,15.0
5,2006-01-07T06:15:00.0,2006-01-07T07:40:00.0,12,3,8,2,false,15.0
6,2006-01-07T07:55:00.0,2006-01-07T09:10:00.0,3,12,8,2,false,15.0
7,2006-01-07T12:05:00.0,2006-01-07T13:30:00.0,12,14,8,2,false,15.0
8,2006-01-07T14:00:00.0,2006-01-07T15:25:00.0,14,12,8,2,false,15.0
9,2006-01-07T06:55:00.0,2006-01-07T08:25:00.0,2,10,2,3,false,15.0
10,2006-01-07T08:40:00.0,2006-01-07T10:15:00.0,10,2,2,3,false,15.0
11,2006-01-07T10:35:00.0,2006-01-07T12:15:00.0,2,11,2,3,false,15.0
12,2006-01-07T12:35:00.0,2006-01-07T14:15:00.0,11,2,2,3,false,15.0
13,2006-01-07T06:00:00.0,2006-01-07T06:20:00.0,8,19,16,4,false,15.0
14,2006-01-07T06:40:00.0,2006-01-07T08:00:00.0,19,10,1,4,false,15.0
15,2006-01-07T08:40:00.0,2006-01-07T10:10:00.0,10,8,3,4,false,15.0
16,2006-01-07T12:00:00.0,2006-01-07T12:20:00.0,8,19,3,4,false,15.0
17,2006-01-07T15:00:00.0,2006-01-07T15:20:00.0,19,8,3,4,false,15.0
18,2006-01-07T15:50:00.0,2006-01-07T17:20:00.0,8,10,3,4,false,15.0
19,2006-01-07T17:50:00.0,2006-01-07T19:10:00.0,10,19,1,4,false,15.0
20,2006-01-07T19:30:00.0,2006-01-07T19:50:00.0,19,8,16,4,false,15.0
21,2006-01-07T08:00:00.0,2006-01-07T09:15:00.0,1,14,5,5,false,15.0
22,2006-01-07T09:45:00.0,2006-01-07T11:00:00.0,14,1,11,5,false,15.0
23,2006-01-07T13:05:00.0,2006-01-07T14:20:00.0,1,14,11,5,false,15.0
24,2006-01-07T15:20:00.0,2006-01-07T16:35:00.0,14,1,5,5,false,15.0
25,2006-01-07T08:00:00.0,2006-01-07T09:25:00.0,7,14,11,6,false,15.0
26,2006-01-07T09:45:00.0,2006-01-07T11:05:00.0,14,7,5,6,false,15.0
27,2006-01-07T13:15:00.0,2006-01-07T14:40:00.0,7,14,5,6,false,15.0
28,2006-01-07T14:55:00.0,2006-01-07T16:15:00.0,14,7,11,6,false,15.0
29,2006-01-07T06:05:00.0,2006-01-07T07:10:00.0,5,4,6,7,false,15.0
30,2006-01-07T07:25:00.0,2006-01-07T08:25:00.0,4,5,6,7,false,15.0
31,2006-01-07T11:55:00.0,2006-01-07T13:00:00.0,5,4,6,7,false,15.0
32,2006-01-07T13:30:00.0,2006-01-07T14:35:00.0,4,16,15,7,false,15.0
33,2006-01-07T14:55:00.0,2006-01-07T15:55:00.0,16,4,15,7,false,15.0
34,2006-01-07T17:20:00.0,2006-01-07T18:50:00.0,4,15,15,7,false,15.0
35,2006-01-07T19:30:00.0,2006-01-07T21:00:00.0,15,4,15,7,false,15.0
36,2006-01-07T06:00:00.0,2006-01-07T07:10:00.0,6,10,3,8,false,15.0
37,2006-01-07T08:40:00.0,2006-01-07T09:55:00.0,10,6,1,8,false,15.0
38,2006-01-07T15:00:00.0,2006-01-07T16:10:00.0,6,10,1,8,false,15.0
39,2006-01-07T18:00:00.0,2006-01-07T19:15:00.0,10,6,3,8,false,15.0
40,2006-01-07T07:10:00.0,2006-01-07T08:05:00.0,12,10,7,9,false,15.0
41,2006-01-07T08:20:00.0,2006-01-07T09:20:00.0,10,12,7,9,false,15.0
42,2006-01-07T10:20:00.0,2006-01-07T11:15:00.0,12,10,7,9,false,15.0
43,2006-01-07T14:25:00.0,2006-01-07T15:25:00.0,10,12,7,9,false,15.0
44,2006-01-07T16:05:00.0,2006-01-07T17:00:00.0,12,10,7,9,false,15.0
45,2006-01-07T17:30:00.0,2006-01-07T18:30:00.0,10,12,7,9,false,15.0
46,2006-01-07T06:00:00.0,2006-01-07T06:45:00.0,2,13,10,10,false,15.0
47,2006-01-07T07:25:00.0,2006-01-07T08:45:00.0,13,17,12,10,false,15.0
48,2006-01-07T09:05:00.0,2006-01-07T10:25:00.0,17,13,12,10,false,15.0
49,2006-01-07T11:55:00.0,2006-01-07T12:35:00.0,13,2,10,10,false,15.0
50,2006-01-07T15:20:00.0,2006-01-07T16:50:00.0,2,10,10,10,false,15.0
51,2006-01-07T17:30:00.0,2006-01-07T18:55:00.0,10,2,10,10,false,15.0
52,2006-01-07T06:50:00.0,2006-01-07T07:50:00.0,17,10,9,11,false,15.0
53,2006-01-07T08:10:00.0,2006-01-07T09:10:00.0,10,17,9,11,false,15.0
54,2006-01-07T09:25:00.0,2006-01-07T10:45:00.0,17,12,9,11,false,15.0
55,2006-01-07T11:25:00.0,2006-01-07T12:45:00.0,12,17,9,11,false,15.0
56,2006-01-07T15:40:00.0,2006-01-07T16:40:00.0,17,10,9,11,false,15.0
57,2006-01-07T17:00:00.0,2006-01-07T18:00:00.0,10,17,9,11,false,15.0
58,2006-01-07T07:55:00.0,2006-01-07T08:55:00.0,13,18,10,12,false,15.0
59,2006-01-07T09:25:00.0,2006-01-07T10:25:00.0,18,13,10,12,false,15.0
60,2006-01-07T10:45:00.0,2006-01-07T11:45:00.0,13,18,12,12,false,15.0
61,2006-01-07T12:25:00.0,2006-01-07T13:25:00.0,18,13,12,12,false,15.0
62,2006-01-07T13:50:00.0,2006-01-07T15:10:00.0,13,11,12,12,false,15.0
63,2006-01-07T15:45:00.0,2006-01-07T17:10:00.0,11,13,12,12,false,15.0
64,2006-01-07T07:30:00.0,2006-01-07T08:50:00.0,14,12,-1,13,true,0
65,2006-01-07T10:00:00.0,2006-01-07T11:40:00.0,12,9,-1,13,true,0
66,2006-01-07T15:05:00.0,2006-01-07T16:20:00.0,9,10,13,13,false,15.0
67,2006-01-07T16:45:00.0,2006-01-07T18:00:00.0,10,9,13,13,false,15.0
