,flight_idx,start_time,dt,finish_time,predt_start_time,predt_finish_time,start_location,end_location,ac_type,mgtw,team
0,265,2024-10-14 06:30:00,0,2024-10-14T06:30:00,2024-10-14T04:45:00,2024-10-14T06:30:00,WAW,AMS,1001,20,1001
1,266,2024-10-14 12:50:00,50,2024-10-14T12:00:00,2024-10-14T10:20:00,2024-10-14T12:00:00,AMS,WAW,1001,20,1001
2,481,2024-10-14 08:40:00,0,2024-10-14T08:40:00,2024-10-14T06:55:00,2024-10-14T08:40:00,WAW,OSL,1002,20,1002
3,482,2024-10-14 11:55:00,50,2024-10-14T11:05:00,2024-10-14T09:20:00,2024-10-14T11:05:00,OSL,WAW,1002,20,1002
4,406,2024-10-14 07:55:00,0,2024-10-14T07:55:00,2024-10-14T06:00:00,2024-10-14T07:55:00,WAW,WAW,1003,20,1003
5,535,2024-10-14 12:40:00,30,2024-10-14T12:10:00,2024-10-14T10:20:00,2024-10-14T12:10:00,WAW,BUD,1003,20,1003
6,536,2024-10-14 14:55:00,0,2024-10-14T14:55:00,2024-10-14T13:05:00,2024-10-14T14:55:00,BUD,WAW,1003,20,1003
7,653,2024-10-14 17:40:00,0,2024-10-14T17:40:00,2024-10-14T15:55:00,2024-10-14T17:40:00,WAW,CLJ,1003,20,1003
8,654,2024-10-14 21:00:00,40,2024-10-14T20:20:00,2024-10-14T18:30:00,2024-10-14T20:20:00,CLJ,WAW,1003,20,1003
9,351,2024-10-14 08:00:00,10,2024-10-14T07:50:00,2024-10-14T06:05:00,2024-10-14T07:50:00,WAW,MUC,1004,20,1004
10,352,2024-10-14 10:15:00,0,2024-10-14T10:15:00,2024-10-14T08:30:00,2024-10-14T10:15:00,MUC,WAW,1004,20,1004
11,138,2024-10-14 08:45:00,10,2024-10-14T08:35:00,2024-10-14T06:55:00,2024-10-14T08:35:00,IST,WAW,1005,20,1005
12,133,2024-10-14 11:50:00,50,2024-10-14T11:00:00,2024-10-14T09:15:00,2024-10-14T11:00:00,WAW,IST,1005,20,1005
13,134,2024-10-14 20:05:00,50,2024-10-14T19:15:00,2024-10-14T17:30:00,2024-10-14T19:15:00,IST,WAW,1005,20,1005
14,263,2024-10-14 08:45:00,0,2024-10-14T08:45:00,2024-10-14T07:00:00,2024-10-14T08:45:00,WAW,AMS,1006,20,1006
15,264,2024-10-14 11:10:00,0,2024-10-14T11:10:00,2024-10-14T09:30:00,2024-10-14T11:10:00,AMS,WAW,1006,20,1006
16,456,2024-10-14 07:45:00,0,2024-10-14T07:45:00,2024-10-14T06:00:00,2024-10-14T07:45:00,ARN,WAW,1007,20,1007
17,611,2024-10-14 14:05:00,0,2024-10-14T14:05:00,2024-10-14T12:15:00,2024-10-14T14:05:00,WAW,ZAG,1007,20,1007
18,612,2024-10-14 16:40:00,0,2024-10-14T16:40:00,2024-10-14T14:55:00,2024-10-14T16:40:00,ZAG,WAW,1007,20,1007
19,317,2024-10-14 08:55:00,60,2024-10-14T07:55:00,2024-10-14T06:10:00,2024-10-14T07:55:00,WAW,MXP,1008,20,1008
20,318,2024-10-14 11:25:00,50,2024-10-14T10:35:00,2024-10-14T08:50:00,2024-10-14T10:35:00,MXP,WAW,1008,20,1008
21,515,2024-10-14 12:35:00,0,2024-10-14T12:35:00,2024-10-14T10:45:00,2024-10-14T12:35:00,WAW,RMO,1008,20,1008
22,516,2024-10-14 15:45:00,30,2024-10-14T15:15:00,2024-10-14T13:30:00,2024-10-14T15:15:00,RMO,WAW,1008,20,1008
23,904,2024-10-14 08:30:00,0,2024-10-14T08:30:00,2024-10-14T06:40:00,2024-10-14T08:30:00,WAW,KRK,1006,20,1006
24,905,2024-10-14 10:30:00,0,2024-10-14T10:30:00,2024-10-14T08:50:00,2024-10-14T10:30:00,KRK,WAW,1006,20,1006
25,825,2024-10-14 17:50:00,60,2024-10-14T16:50:00,2024-10-14T15:00:00,2024-10-14T16:50:00,WAW,GDN,1005,20,1005
26,631,2024-10-14 09:55:00,0,2024-10-14T09:55:00,2024-10-14T08:15:00,2024-10-14T09:55:00,WAW,SOF,1009,20,1009
